epoch,global_steps,total_n_traj,train_ep_return,actor_alpha,actor_entropy,actor_loss,actor_mu,actor_mu:max,actor_mu:min,actor_mu:std,actor_std,actor_std:max,actor_std:min,actor_std:std,actor_v_elbo,actor_v_elbo:max,actor_v_elbo:min,actor_v_elbo:std,critic_loss,critic_q1,critic_q1:max,critic_q1:min,critic_q1:std,critic_q2,critic_q2:max,critic_q2:min,critic_q2:std,eval_ep_return,eval_epoch
0.0,1000.0,1.0,-276.54608154296875,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2000.0,2.0,-392.728759765625,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3000.0,3.0,-443.5718994140625,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,4000.0,4.0,-332.9488830566406,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,5000.0,5.0,-501.1817626953125,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,6000.0,6.0,-362.4096984863281,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,7000.0,7.0,-250.4329071044922,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,8000.0,8.0,-525.6408081054688,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,9000.0,9.0,-363.6136474609375,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,10000.0,10.0,-359.2129211425781,0.9997000694274902,2.2720372676849365,6.007858753204346,-0.03117251954972744,1.5210578441619873,-1.6471998691558838,0.41411536931991577,1.2255226373672485,4.683039665222168,0.29647013545036316,0.4871211349964142,2.26417875289917,6.871436595916748,-12.734596252441406,2.6020121574401855,19.529319763183594,-0.3319939374923706,0.3619893491268158,-1.2222297191619873,0.25090575218200684,0.10038010776042938,0.7026351094245911,-0.7905004620552063,0.24067187309265137,,
10.0,11000.0,11.0,-270.4297790527344,0.7538169622421265,3.927600383758545,-9.970151901245117,0.016925131902098656,0.6926862597465515,-0.5202407836914062,0.1766567826271057,0.8956077694892883,1.0272523164749146,0.7442169189453125,0.03786200284957886,17.455730438232422,21.160171508789062,13.968786239624023,1.215984582901001,1.844089388847351,14.599950790405273,19.26198959350586,10.345120429992676,1.343597412109375,14.586166381835938,20.49582862854004,9.274330139160156,1.3955374956130981,,
11.0,12000.0,12.0,-197.40916442871094,0.583530843257904,4.059139251708984,-19.24543571472168,0.011760302819311619,0.4451764225959778,-0.35984447598457336,0.09636747092008591,0.8950095176696777,1.0077457427978516,0.7660147547721863,0.029961159452795982,25.11670684814453,31.452096939086914,17.025060653686523,1.7101349830627441,1.710225224494934,23.035289764404297,31.671438217163086,14.654752731323242,1.93438720703125,22.898460388183594,31.328536987304688,15.547597885131836,1.9523892402648926,,
12.0,13000.0,13.0,-212.7952880859375,0.4585811197757721,4.023931503295898,-25.542980194091797,0.030067479237914085,0.7826188802719116,-0.5057463645935059,0.14652827382087708,0.9022315144538879,1.0181076526641846,0.7913913726806641,0.02859758399426937,30.14084815979004,36.466983795166016,22.407543182373047,2.2249419689178467,1.893007516860962,28.858165740966797,34.4165153503418,19.458803176879883,2.164989471435547,28.723859786987305,34.27875900268555,18.51884651184082,2.2306735515594482,,
13.0,14000.0,14.0,-217.90478515625,0.3637852668762207,3.920722484588623,-29.753345489501953,0.03566524386405945,0.90587317943573,-0.7911579608917236,0.21273009479045868,0.9040380120277405,1.0713468790054321,0.7567299604415894,0.02941030077636242,33.36318588256836,41.9235954284668,24.109994888305664,2.6232757568359375,2.4903883934020996,31.970325469970703,42.735870361328125,23.017133712768555,2.6453635692596436,31.976978302001953,42.7999267578125,23.15643310546875,2.677267074584961,,
14.0,15000.0,15.0,-277.8586120605469,0.2904149889945984,3.764465808868408,-32.0914306640625,0.0015825872542336583,1.4903182983398438,-1.053833246231079,0.31286290287971497,0.8914898037910461,0.9914920926094055,0.7025666236877441,0.03305378183722496,34.92781066894531,45.340641021728516,23.170909881591797,2.8038156032562256,2.4113833904266357,33.90869903564453,44.58850860595703,22.39629364013672,2.7946293354034424,33.72062301635742,43.49589157104492,22.14520263671875,2.832338333129883,,
15.0,16000.0,16.0,-165.3242645263672,0.23288166522979736,3.5874428749084473,-33.4749870300293,0.02306969277560711,1.4728891849517822,-1.5525535345077515,0.4061065912246704,0.88112473487854,1.0234767198562622,0.7107681035995483,0.044411901384592056,35.70821762084961,47.66414260864258,22.98530387878418,3.152235507965088,2.893045663833618,35.04728698730469,43.17136764526367,20.68675994873047,2.9378468990325928,35.14360809326172,42.92667770385742,19.642263412475586,2.946993827819824,,
16.0,17000.0,17.0,-264.52679443359375,0.18747222423553467,3.1213107109069824,-33.74832534790039,-0.009794216603040695,2.0497608184814453,-2.0460426807403564,0.5084317922592163,0.8573679327964783,1.0504902601242065,0.6472314596176147,0.05051317438483238,35.45868682861328,45.67803955078125,24.787277221679688,3.2433152198791504,2.453334331512451,34.51845169067383,44.43704605102539,22.289724349975586,3.205488443374634,34.605384826660156,45.539878845214844,23.254413604736328,3.2639706134796143,,
17.0,18000.0,18.0,-202.841064453125,0.15138086676597595,2.6858980655670166,-33.300071716308594,-0.025422317907214165,1.9329464435577393,-2.119398593902588,0.5904639959335327,0.8291397094726562,1.006182312965393,0.561609148979187,0.05709640681743622,34.615230560302734,47.22542953491211,21.253076553344727,3.439873218536377,3.105351448059082,34.36176681518555,51.053550720214844,23.553268432617188,3.2076473236083984,34.3421630859375,49.09245681762695,23.66440773010254,3.230182409286499,,
18.0,19000.0,19.0,-85.69015502929688,0.12253301590681076,2.308546543121338,-32.973793029785156,-0.0018002319848164916,2.2589023113250732,-2.1967227458953857,0.6696719527244568,0.7926352620124817,1.0047814846038818,0.5092123746871948,0.06689611077308655,33.99207305908203,49.93715286254883,22.15275764465332,3.1328628063201904,2.5188846588134766,34.0637321472168,51.212345123291016,22.65137481689453,3.3831801414489746,33.949913024902344,50.59629440307617,21.31630516052246,3.3731131553649902,,
19.0,20000.0,20.0,-111.24110412597656,0.09950016438961029,1.606773853302002,-31.857332229614258,-0.1073332205414772,2.319080114364624,-4.048212051391602,0.7632420659065247,0.7581685185432434,1.0049684047698975,0.4721929132938385,0.07896412909030914,32.61436462402344,50.71628952026367,18.44953155517578,3.4028916358947754,2.597853422164917,32.48483657836914,54.74554443359375,15.832695007324219,3.6344194412231445,32.39377212524414,52.8749885559082,16.55730628967285,3.5655601024627686,,
20.0,21000.0,21.0,-151.80331420898438,0.08099312335252762,0.9078643918037415,-30.904504776000977,-0.033534761518239975,2.967111349105835,-2.439099073410034,0.865424633026123,0.7241771817207336,1.060727834701538,0.4414093494415283,0.08802242577075958,31.464109420776367,48.05482864379883,21.582353591918945,3.295262098312378,2.7501325607299805,31.562763214111328,54.0884895324707,16.88693618774414,3.8359696865081787,31.5224666595459,53.49224090576172,17.097410202026367,3.7990598678588867,145.9170379638672,20.0
21.0,22000.0,22.0,-426.1583251953125,0.06608259677886963,0.6942650675773621,-29.619922637939453,0.0028590906877070665,2.8279693126678467,-3.3469865322113037,0.9052605628967285,0.6986162066459656,1.0690889358520508,0.43999192118644714,0.08540280908346176,30.062389373779297,48.96753692626953,18.8372802734375,3.6315581798553467,2.8660459518432617,29.771364212036133,49.95524597167969,16.982336044311523,3.5273449420928955,29.79672622680664,50.2161979675293,17.968385696411133,3.5356662273406982,,
22.0,23000.0,23.0,-29.39238166809082,0.053970035165548325,-0.06184257194399834,-28.028671264648438,-0.028826458379626274,3.121971845626831,-3.3595645427703857,0.9851930141448975,0.6406416893005371,0.9393925666809082,0.36648762226104736,0.09099388122558594,28.34921646118164,50.570899963378906,19.13703155517578,4.342321872711182,2.429266929626465,28.141124725341797,48.44575119018555,14.116822242736816,3.66618013381958,28.14020347595215,46.288028717041016,14.328543663024902,3.702859878540039,,
23.0,24000.0,24.0,-36.22319030761719,0.04416639730334282,-0.3585987985134125,-26.855684280395508,-0.0900278091430664,3.070537805557251,-4.253779888153076,0.9999791979789734,0.6169558167457581,0.9149044156074524,0.3201753497123718,0.09148568660020828,27.104894638061523,51.84855651855469,14.5723876953125,4.630616664886475,2.5397047996520996,26.735925674438477,46.033851623535156,12.469971656799316,4.181653022766113,26.639259338378906,45.90029525756836,13.220381736755371,4.193186283111572,,
24.0,25000.0,25.0,-299.9158935546875,0.03624994307756424,-1.1967835426330566,-25.36407470703125,-0.18558287620544434,3.969235897064209,-4.553489685058594,1.0474905967712402,0.5617066025733948,0.8586038947105408,0.19610357284545898,0.08828561007976532,25.538225173950195,49.87385559082031,11.489319801330566,5.474743843078613,3.229027509689331,24.9517879486084,51.13823318481445,15.087709426879883,4.957412242889404,24.830957412719727,48.92588806152344,14.776632308959961,4.9141058921813965,,
25.0,26000.0,26.0,-83.39112854003906,0.029874542728066444,-1.7941198348999023,-23.873193740844727,-0.05967813730239868,3.3147165775299072,-3.3859705924987793,1.095903992652893,0.5173079371452332,0.7993864417076111,0.1594361960887909,0.08997345715761185,23.99886703491211,50.71150207519531,12.534624099731445,5.892855167388916,2.7506041526794434,23.690998077392578,48.26367950439453,10.317537307739258,5.348653316497803,23.82318687438965,49.495933532714844,10.407087326049805,5.384887218475342,,
26.0,27000.0,27.0,6.3209309577941895,0.02470000647008419,-1.9977760314941406,-23.166095733642578,-0.08572755008935928,3.947502374649048,-3.360344409942627,1.0885955095291138,0.4895085394382477,0.7566351890563965,0.13172142207622528,0.09181954711675644,23.264968872070312,49.826168060302734,11.19996166229248,6.73121976852417,2.4582324028015137,22.81678009033203,54.90393829345703,14.334732055664062,6.1207170486450195,22.73798370361328,54.42704391479492,14.565138816833496,6.101174831390381,,
27.0,28000.0,28.0,52.19722366333008,0.02055342309176922,-2.9011852741241455,-22.344791412353516,-0.23647534847259521,4.654514312744141,-3.8798885345458984,1.1380244493484497,0.45223140716552734,0.8217463493347168,0.1815682053565979,0.09150591492652893,22.40849494934082,48.0536994934082,12.667030334472656,7.49198579788208,2.5934343338012695,21.694725036621094,50.90919494628906,10.388358116149902,6.966654300689697,21.943649291992188,50.78651428222656,11.140283584594727,7.026575088500977,,
28.0,29000.0,29.0,37.670082092285156,0.017231116071343422,-3.4932918548583984,-21.3702392578125,-0.03589637577533722,4.259133338928223,-4.172477722167969,1.2001073360443115,0.41960349678993225,0.7371091842651367,0.09350614994764328,0.09514570981264114,21.41343879699707,52.83995056152344,9.021060943603516,8.356073379516602,2.7235002517700195,20.68338966369629,57.523193359375,7.459356784820557,7.933345317840576,20.69043731689453,56.39636993408203,8.496871948242188,7.91606330871582,,
29.0,30000.0,30.0,274.09161376953125,0.014573459513485432,-4.126474380493164,-21.447160720825195,-0.06592438369989395,4.306277751922607,-4.705574989318848,1.2375189065933228,0.3823575973510742,0.6980310082435608,0.11858195811510086,0.09349409490823746,21.474464416503906,50.99816131591797,8.530527114868164,9.39281940460205,3.3021037578582764,20.333675384521484,52.9035530090332,8.821016311645508,8.91214370727539,20.34529685974121,52.387725830078125,8.76934814453125,8.889031410217285,,
30.0,31000.0,31.0,392.5016174316406,0.012570183724164963,-4.332891464233398,-20.069896697998047,-0.12389403581619263,4.2985148429870605,-4.180473327636719,1.231986403465271,0.36178064346313477,0.7145580053329468,0.1154010146856308,0.08710045367479324,20.09085464477539,49.0396614074707,7.810980319976807,9.391800880432129,2.689405918121338,20.640031814575195,53.552650451660156,6.724469184875488,10.072349548339844,20.535511016845703,56.238304138183594,6.480602264404297,9.926761627197266,209.14793395996094,30.0
31.0,32000.0,32.0,179.13116455078125,0.011096121743321419,-5.5141825675964355,-20.17351722717285,-0.10338567942380905,5.792013168334961,-4.918036937713623,1.310678482055664,0.339526504278183,0.6949109435081482,0.0775567889213562,0.08938151597976685,20.178909301757812,55.090087890625,7.390239715576172,10.479447364807129,3.060441255569458,19.91830825805664,51.24972915649414,7.465086936950684,10.105915069580078,20.000179290771484,54.577091217041016,8.258045196533203,10.152935981750488,,
32.0,33000.0,33.0,194.629638671875,0.01003334205597639,-6.125704765319824,-19.685171127319336,-0.15047912299633026,5.189026832580566,-5.464899063110352,1.3242640495300293,0.31337833404541016,0.7513856291770935,0.08476844429969788,0.09246412664651871,19.683910369873047,56.392791748046875,6.614555358886719,10.664485931396484,2.2176809310913086,18.89725685119629,53.90963363647461,6.3228020668029785,10.284419059753418,18.902263641357422,52.81492614746094,6.34481143951416,10.234061241149902,,
33.0,34000.0,34.0,339.41021728515625,0.009379570372402668,-5.963637828826904,-19.031042098999023,-0.11884214729070663,4.642742156982422,-6.1019439697265625,1.3151421546936035,0.30976107716560364,0.765195369720459,0.06873007118701935,0.09063534438610077,19.031387329101562,55.983516693115234,5.257629871368408,11.107316017150879,2.600090980529785,18.519046783447266,58.17866516113281,6.928483486175537,10.843524932861328,18.52901840209961,58.241241455078125,6.09574031829834,10.801200866699219,,
34.0,35000.0,35.0,327.8376159667969,0.009292051196098328,-5.912317276000977,-18.18684959411621,-0.07560614496469498,4.945188999176025,-5.0316481590271,1.3124582767486572,0.30720019340515137,0.6932854056358337,0.09066875278949738,0.08698016405105591,18.187664031982422,59.01337432861328,5.2734575271606445,11.060609817504883,2.277902603149414,18.386154174804688,51.99168395996094,6.687085151672363,11.09970760345459,18.385948181152344,50.90464782714844,6.347172737121582,11.021547317504883,,
35.0,36000.0,36.0,662.690185546875,0.009784932248294353,-6.328746795654297,-18.376251220703125,-0.06734495609998703,5.406154155731201,-5.216454982757568,1.3613651990890503,0.31120380759239197,0.7732741832733154,0.07442387193441391,0.09502307325601578,18.37303352355957,51.53957748413086,5.393631935119629,11.723057746887207,2.666656494140625,18.39087677001953,54.71540451049805,4.868874549865723,11.794034004211426,18.257293701171875,54.32708740234375,3.525216579437256,11.869560241699219,,
